,5 digit NTD ID,agency_name,month_year,trips_num,VOMS,VRM,VRH,date_col,NTD ID,Agency,Mode VOMS_new,VOM_CAT
140,40026,Manatee County Board of County Commissioners,JUN02,91214.0,23.0,72479.0,5760.0,2002-06-01,40026,"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",23,10-49 peak vehicles
141,40027,Pinellas Suncoast Transit Authority,JUN02,714987.0,137.0,614952.0,41988.0,2002-06-01,40027,Pinellas Suncoast Transit Authority,197,50-200 peak vehicles
142,40028,Lee County Transit,JUN02,154928.0,39.0,202753.0,13983.0,2002-06-01,40028,"Lee County Transit, dba: Lee County Transit",50,50-200 peak vehicles
143,40029,Broward County Board of County Commissioners,JUN02,2605031.0,257.0,1230252.0,90391.0,2002-06-01,40029,"Broward County Board of County Commissioners, dba: Broward County Transit Division",317,greater than 200 peak vehicles
144,40030,"City of Gainesville, FL",JUN02,0.0,72.0,0.0,0.0,2002-06-01,40030,"City of Gainesville, FL, dba: Regional Transit System",112,50-200 peak vehicles
145,40031,Lakeland Area Mass Transit District,JUN02,0.0,25.0,0.0,0.0,2002-06-01,40031,"Lakeland Area Mass Transit District, dba: Citrus Connection",39,10-49 peak vehicles
146,40032,County of Volusia,JUN02,189781.0,48.0,202387.0,13464.0,2002-06-01,40032,"County of Volusia, dba: VOTRAN",66,50-200 peak vehicles
147,40034,County of Miami-Dade ,JUN02,4781457.0,547.0,3158524.0,164141.0,2002-06-01,40034,"County of Miami-Dade, dba: Transportation & Public Work",749,greater than 200 peak vehicles
148,40035,Central Florida Regional Transportation Authority,JUN02,1577001.0,197.0,1012063.0,72774.0,2002-06-01,40035,Central Florida Regional Transportation Authority,267,greater than 200 peak vehicles
149,40036,City of Tallahassee,JUN02,236490.0,48.0,139520.0,11164.0,2002-06-01,40036,"City of Tallahassee, dba: StarMetro",57,50-200 peak vehicles
150,40037,"Board of County Commissioners, Palm Beach County",JUN02,473389.0,114.0,529772.0,32839.0,2002-06-01,40037,"Board of County Commissioners, Palm Beach County, dba: Palm Tran",119,50-200 peak vehicles
151,40038,"Escambia County Board of County Commissioners, FL",JUN02,120525.0,38.0,124908.0,7659.0,2002-06-01,40038,"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",36,10-49 peak vehicles
152,40040,Jacksonville Transportation Authority,JUN02,606492.0,135.0,817805.0,49048.0,2002-06-01,40040,Jacksonville Transportation Authority,171,50-200 peak vehicles
153,40041,Hillsborough Area Regional Transit Authority,JUN02,595362.0,171.0,511852.0,41570.0,2002-06-01,40041,Hillsborough Area Regional Transit Authority,133,50-200 peak vehicles
154,40046,Sarasota County ,JUN02,123377.0,29.0,133852.0,8709.0,2002-06-01,40046,"Sarasota County, dba: Sarasota County Area Transit",51,50-200 peak vehicles
